Notes,County,County Code,Year,Year Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,STATE,COUNTY,STNAME,CTYNAME,year,population,fips
,"Greenville County, SC",45045,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,55.0,45,45,South Carolina,Greenville County,2007,427970,45045
,"Horry County, SC",45051,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,45,51,South Carolina,Horry County,2007,252464,45051
,"Lexington County, SC",45063,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,45,63,South Carolina,Lexington County,2007,246461,45063
,"Oconee County, SC",45073,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,45,73,South Carolina,Oconee County,2007,72407,45073
,"Pickens County, SC",45077,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,45,77,South Carolina,Pickens County,2007,116815,45077
,"Richland County, SC",45079,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,45,79,South Carolina,Richland County,2007,366111,45079
,"Spartanburg County, SC",45083,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,35.0,45,83,South Carolina,Spartanburg County,2007,274215,45083
,"York County, SC",45091,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,45,91,South Carolina,York County,2007,208640,45091
,"Blount County, TN",47009,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,47,9,Tennessee,Blount County,2007,119950,47009
,"Bradley County, TN",47011,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,47,11,Tennessee,Bradley County,2007,96336,47011
,"Campbell County, TN",47013,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,47,13,Tennessee,Campbell County,2007,40480,47013
,"Davidson County, TN",47037,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,75.0,47,37,Tennessee,Davidson County,2007,605031,47037
,"Hamblen County, TN",47063,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,47,63,Tennessee,Hamblen County,2007,61592,47063
,"Hamilton County, TN",47065,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,47,65,Tennessee,Hamilton County,2007,324784,47065
,"Hawkins County, TN",47073,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,47,73,Tennessee,Hawkins County,2007,56380,47073
,"Jefferson County, TN",47089,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,47,89,Tennessee,Jefferson County,2007,50184,47089
,"Knox County, TN",47093,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,66.0,47,93,Tennessee,Knox County,2007,419096,47093
,"Lawrence County, TN",47099,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,47,99,Tennessee,Lawrence County,2007,41072,47099
,"McMinn County, TN",47107,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,47,107,Tennessee,McMinn County,2007,51912,47107
,"Montgomery County, TN",47125,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,47,125,Tennessee,Montgomery County,2007,160642,47125
,"Putnam County, TN",47141,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,47,141,Tennessee,Putnam County,2007,69468,47141
,"Rutherford County, TN",47149,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,47,149,Tennessee,Rutherford County,2007,243953,47149
,"Sevier County, TN",47155,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,47,155,Tennessee,Sevier County,2007,86284,47155
,"Shelby County, TN",47157,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,102.0,47,157,Tennessee,Shelby County,2007,921119,47157
,"Sullivan County, TN",47163,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,47,163,Tennessee,Sullivan County,2007,155367,47163
,"Warren County, TN",47177,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,47,177,Tennessee,Warren County,2007,39365,47177
,"Wilson County, TN",47189,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,47,189,Tennessee,Wilson County,2007,106757,47189
,"Benton County, WA",53005,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,53,5,Washington,Benton County,2007,161669,53005
,"Clallam County, WA",53009,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,53,9,Washington,Clallam County,2007,70186,53009
,"Clark County, WA",53011,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0,53,11,Washington,Clark County,2007,408820,53011
,"Cowlitz County, WA",53015,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,53,15,Washington,Cowlitz County,2007,100744,53015
,"Grant County, WA",53025,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,53,25,Washington,Grant County,2007,82645,53025
,"King County, WA",53033,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,212.0,53,33,Washington,King County,2007,1847986,53033
,"Kitsap County, WA",53035,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,53,35,Washington,Kitsap County,2007,244105,53035
,"Lewis County, WA",53041,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,53,41,Washington,Lewis County,2007,74229,53041
,"Pierce County, WA",53053,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,98.0,53,53,Washington,Pierce County,2007,772484,53053
,"Skagit County, WA",53057,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,53,57,Washington,Skagit County,2007,114066,53057
,"Snohomish County, WA",53061,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,95.0,53,61,Washington,Snohomish County,2007,683997,53061
,"Spokane County, WA",53063,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,88.0,53,63,Washington,Spokane County,2007,456150,53063
,"Thurston County, WA",53067,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,53,67,Washington,Thurston County,2007,237772,53067
,"Whatcom County, WA",53073,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,53,73,Washington,Whatcom County,2007,192837,53073
,"Yakima County, WA",53077,2007,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,53,77,Washington,Yakima County,2007,232733,53077
,"Bay County, FL",12005,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,12,5,Florida,Bay County,2008,166267,12005
,"Brevard County, FL",12009,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,109.0,12,9,Florida,Brevard County,2008,542378,12009
,"Broward County, FL",12011,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,242.0,12,11,Florida,Broward County,2008,1723633,12011
,"Citrus County, FL",12017,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,12,17,Florida,Citrus County,2008,142122,12017
,"Clay County, FL",12019,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,12,19,Florida,Clay County,2008,187289,12019
,"Collier County, FL",12021,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,50.0,12,21,Florida,Collier County,2008,316641,12021
,"Columbia County, FL",12023,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,12,23,Florida,Columbia County,2008,67318,12023
,"Duval County, FL",12031,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,89.0,12,31,Florida,Duval County,2008,855437,12031
,"Escambia County, FL",12033,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0,12,33,Florida,Escambia County,2008,296854,12033
,"Hernando County, FL",12053,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0,12,53,Florida,Hernando County,2008,172437,12053
,"Hillsborough County, FL",12057,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,218.0,12,57,Florida,Hillsborough County,2008,1196773,12057
,"Indian River County, FL",12061,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,12,61,Florida,Indian River County,2008,136277,12061
,"Lake County, FL",12069,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,12,69,Florida,Lake County,2008,293654,12069
,"Lee County, FL",12071,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,76.0,12,71,Florida,Lee County,2008,610984,12071
,"Leon County, FL",12073,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,12,73,Florida,Leon County,2008,271130,12073
,"Manatee County, FL",12081,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0,12,81,Florida,Manatee County,2008,318766,12081
,"Marion County, FL",12083,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0,12,83,Florida,Marion County,2008,330052,12083
,"Martin County, FL",12085,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,12,85,Florida,Martin County,2008,144369,12085
,"Miami-Dade County, FL",12086,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,119.0,12,86,Florida,Miami-Dade County,2008,2436062,12086
,"Monroe County, FL",12087,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,12,87,Florida,Monroe County,2008,72730,12087
,"Nassau County, FL",12089,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,12,89,Florida,Nassau County,2008,71557,12089
,"Okaloosa County, FL",12091,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,12,91,Florida,Okaloosa County,2008,181752,12091
,"Okeechobee County, FL",12093,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,12,93,Florida,Okeechobee County,2008,39968,12093
,"Orange County, FL",12095,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,99.0,12,95,Florida,Orange County,2008,1115525,12095
,"Osceola County, FL",12097,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,12,97,Florida,Osceola County,2008,261746,12097
,"Palm Beach County, FL",12099,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,203.0,12,99,Florida,Palm Beach County,2008,1294938,12099
,"Pasco County, FL",12101,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,129.0,12,101,Florida,Pasco County,2008,461313,12101
,"Pinellas County, FL",12103,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,236.0,12,103,Florida,Pinellas County,2008,916458,12103
,"Polk County, FL",12105,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,73.0,12,105,Florida,Polk County,2008,594801,12105
,"St. Lucie County, FL",12111,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0,12,111,Florida,St. Lucie County,2008,273151,12111
,"Santa Rosa County, FL",12113,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,12,113,Florida,Santa Rosa County,2008,148538,12113
,"Sarasota County, FL",12115,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,71.0,12,115,Florida,Sarasota County,2008,377178,12115
,"Seminole County, FL",12117,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0,12,117,Florida,Seminole County,2008,416564,12117
,"Volusia County, FL",12127,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,81.0,12,127,Florida,Volusia County,2008,497366,12127
,"Barrow County, GA",13013,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,13,13,Georgia,Barrow County,2008,67362,13013
,"Bartow County, GA",13015,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,13,15,Georgia,Bartow County,2008,98415,13015
,"Bibb County, GA",13021,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,13,21,Georgia,Bibb County,2008,154384,13021
,"Carroll County, GA",13045,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,13,45,Georgia,Carroll County,2008,110242,13045
,"Catoosa County, GA",13047,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,13,47,Georgia,Catoosa County,2008,63271,13047
,"Chatham County, GA",13051,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,13,51,Georgia,Chatham County,2008,255269,13051
,"Cherokee County, GA",13057,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,13,57,Georgia,Cherokee County,2008,208271,13057
,"Clayton County, GA",13063,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,13,63,Georgia,Clayton County,2008,262099,13063
,"Cobb County, GA",13067,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,60.0,13,67,Georgia,Cobb County,2008,679822,13067
,"Coweta County, GA",13077,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,13,77,Georgia,Coweta County,2008,122281,13077
,"DeKalb County, GA",13089,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,13,89,Georgia,DeKalb County,2008,685646,13089
,"Douglas County, GA",13097,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,13,97,Georgia,Douglas County,2008,129508,13097
,"Floyd County, GA",13115,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,13,115,Georgia,Floyd County,2008,95922,13115
,"Forsyth County, GA",13117,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,13,117,Georgia,Forsyth County,2008,166338,13117
,"Fulton County, GA",13121,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,94.0,13,121,Georgia,Fulton County,2008,888694,13121
,"Glynn County, GA",13127,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,13,127,Georgia,Glynn County,2008,78013,13127
,"Gwinnett County, GA",13135,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0,13,135,Georgia,Gwinnett County,2008,780721,13135
,"Hall County, GA",13139,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,13,139,Georgia,Hall County,2008,177277,13139
,"Henry County, GA",13151,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,13,151,Georgia,Henry County,2008,194658,13151
,"Murray County, GA",13213,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,13,213,Georgia,Murray County,2008,39869,13213
,"Muscogee County, GA",13215,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,13,215,Georgia,Muscogee County,2008,184763,13215
,"Paulding County, GA",13223,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,13,223,Georgia,Paulding County,2008,137066,13223
,"Richmond County, GA",13245,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,13,245,Georgia,Richmond County,2008,198423,13245
,"Whitfield County, GA",13313,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,13,313,Georgia,Whitfield County,2008,100546,13313
,"Ada County, ID",16001,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,16,1,Idaho,Ada County,2008,382618,16001
,"Bonneville County, ID",16019,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,16,19,Idaho,Bonneville County,2008,100811,16019
,"Kootenai County, ID",16055,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,16,55,Idaho,Kootenai County,2008,135627,16055
,"DeSoto County, MS",28033,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,28,33,Mississippi,DeSoto County,2008,156214,28033
,"Hancock County, MS",28045,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,28,45,Mississippi,Hancock County,2008,42764,28045
,"Harrison County, MS",28047,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,28,47,Mississippi,Harrison County,2008,182735,28047
,"Jackson County, MS",28059,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,28,59,Mississippi,Jackson County,2008,137791,28059
,"Pearl River County, MS",28109,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,28,109,Mississippi,Pearl River County,2008,56538,28109
,"Rankin County, MS",28121,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,28,121,Mississippi,Rankin County,2008,139136,28121
,"Cascade County, MT",30013,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,30,13,Montana,Cascade County,2008,80529,30013
,"Flathead County, MT",30029,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,30,29,Montana,Flathead County,2008,90260,30029
,"Missoula County, MT",30063,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,30,63,Montana,Missoula County,2008,107747,30063
,"Alamance County, NC",37001,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,37,1,North Carolina,Alamance County,2008,147704,37001
,"Brunswick County, NC",37019,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,37,19,North Carolina,Brunswick County,2008,103257,37019
,"Buncombe County, NC",37021,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,37,21,North Carolina,Buncombe County,2008,233772,37021
,"Burke County, NC",37023,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,37,23,North Carolina,Burke County,2008,90788,37023
,"Cabarrus County, NC",37025,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,37,25,North Carolina,Cabarrus County,2008,171915,37025
,"Caldwell County, NC",37027,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,37,27,North Carolina,Caldwell County,2008,82527,37027
,"Carteret County, NC",37031,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,31,North Carolina,Carteret County,2008,64700,37031
,"Catawba County, NC",37035,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,37,35,North Carolina,Catawba County,2008,153848,37035
,"Cleveland County, NC",37045,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,37,45,North Carolina,Cleveland County,2008,98155,37045
,"Craven County, NC",37049,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,37,49,North Carolina,Craven County,2008,99423,37049
,"Cumberland County, NC",37051,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,37,51,North Carolina,Cumberland County,2008,311800,37051
,"Davidson County, NC",37057,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0,37,57,North Carolina,Davidson County,2008,161520,37057
,"Durham County, NC",37063,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,37,63,North Carolina,Durham County,2008,259356,37063
,"Forsyth County, NC",37067,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0,37,67,North Carolina,Forsyth County,2008,344330,37067
,"Gaston County, NC",37071,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,35.0,37,71,North Carolina,Gaston County,2008,204454,37071
,"Guilford County, NC",37081,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0,37,81,North Carolina,Guilford County,2008,477809,37081
,"Harnett County, NC",37085,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,85,North Carolina,Harnett County,2008,108752,37085
,"Haywood County, NC",37087,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,37,87,North Carolina,Haywood County,2008,58811,37087
,"Henderson County, NC",37089,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,37,89,North Carolina,Henderson County,2008,104289,37089
,"Iredell County, NC",37097,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,37,97,North Carolina,Iredell County,2008,156204,37097
,"McDowell County, NC",37111,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,37,111,North Carolina,McDowell County,2008,44768,37111
,"Mecklenburg County, NC",37119,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,53.0,37,119,North Carolina,Mecklenburg County,2008,887991,37119
,"New Hanover County, NC",37129,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0,37,129,North Carolina,New Hanover County,2008,197709,37129
,"Onslow County, NC",37133,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,133,North Carolina,Onslow County,2008,169059,37133
,"Pitt County, NC",37147,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,37,147,North Carolina,Pitt County,2008,162116,37147
,"Randolph County, NC",37151,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,37,151,North Carolina,Randolph County,2008,140297,37151
,"Robeson County, NC",37155,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,155,North Carolina,Robeson County,2008,131734,37155
,"Rockingham County, NC",37157,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,37,157,North Carolina,Rockingham County,2008,93299,37157
,"Rowan County, NC",37159,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,37,159,North Carolina,Rowan County,2008,137721,37159
,"Rutherford County, NC",37161,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,37,161,North Carolina,Rutherford County,2008,67145,37161
,"Sampson County, NC",37163,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,163,North Carolina,Sampson County,2008,62837,37163
,"Stokes County, NC",37169,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,37,169,North Carolina,Stokes County,2008,47363,37169
,"Union County, NC",37179,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,37,179,North Carolina,Union County,2008,193678,37179
,"Wake County, NC",37183,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,51.0,37,183,North Carolina,Wake County,2008,856492,37183
,"Wayne County, NC",37191,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,37,191,North Carolina,Wayne County,2008,119910,37191
,"Wilkes County, NC",37193,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,37,193,North Carolina,Wilkes County,2008,69317,37193
,"Clackamas County, OR",41005,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,41,5,Oregon,Clackamas County,2008,371103,41005
,"Deschutes County, OR",41017,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,41,17,Oregon,Deschutes County,2008,156820,41017
,"Jackson County, OR",41029,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,41,29,Oregon,Jackson County,2008,201162,41029
,"Lane County, OR",41039,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,39.0,41,39,Oregon,Lane County,2008,348176,41039
,"Marion County, OR",41047,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,41,47,Oregon,Marion County,2008,309729,41047
,"Multnomah County, OR",41051,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,108.0,41,51,Oregon,Multnomah County,2008,712989,41051
,"Washington County, OR",41067,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,41,67,Oregon,Washington County,2008,515815,41067
,"Aiken County, SC",45003,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,45,3,South Carolina,Aiken County,2008,156896,45003
,"Anderson County, SC",45007,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,45,7,South Carolina,Anderson County,2008,184520,45007
,"Berkeley County, SC",45015,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,45,15,South Carolina,Berkeley County,2008,171099,45015
,"Charleston County, SC",45019,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,45,19,South Carolina,Charleston County,2008,341921,45019
,"Dorchester County, SC",45035,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,45,35,South Carolina,Dorchester County,2008,130593,45035
,"Greenville County, SC",45045,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,66.0,45,45,South Carolina,Greenville County,2008,438742,45045
,"Greenwood County, SC",45047,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,45,47,South Carolina,Greenwood County,2008,68862,45047
,"Horry County, SC",45051,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,35.0,45,51,South Carolina,Horry County,2008,260609,45051
,"Laurens County, SC",45059,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,45,59,South Carolina,Laurens County,2008,67173,45059
,"Lexington County, SC",45063,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,45,63,South Carolina,Lexington County,2008,252747,45063
,"Oconee County, SC",45073,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,45,73,South Carolina,Oconee County,2008,73089,45073
,"Pickens County, SC",45077,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,45,77,South Carolina,Pickens County,2008,118330,45077
,"Richland County, SC",45079,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,45,79,South Carolina,Richland County,2008,373789,45079
,"Spartanburg County, SC",45083,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0,45,83,South Carolina,Spartanburg County,2008,279673,45083
,"York County, SC",45091,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,45,91,South Carolina,York County,2008,217463,45091
,"Anderson County, TN",47001,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,47,1,Tennessee,Anderson County,2008,74397,47001
,"Blount County, TN",47009,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,47,9,Tennessee,Blount County,2008,121716,47009
,"Bradley County, TN",47011,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,47,11,Tennessee,Bradley County,2008,97547,47011
,"Campbell County, TN",47013,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,47,13,Tennessee,Campbell County,2008,40672,47013
,"Cheatham County, TN",47021,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,47,21,Tennessee,Cheatham County,2008,38947,47021
,"Davidson County, TN",47037,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,67.0,47,37,Tennessee,Davidson County,2008,612649,47037
,"Dickson County, TN",47043,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,47,43,Tennessee,Dickson County,2008,48929,47043
,"Hamilton County, TN",47065,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,44.0,47,65,Tennessee,Hamilton County,2008,328711,47065
,"Jefferson County, TN",47089,2008,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,47,89,Tennessee,Jefferson County,2008,51014,47089
